participant_id	T1w_QC	FLAIR_QC	T2w_QC	TSE1_QC	TSE2_QC
sub-0001	1	1	1	1	1
sub-0002	n/a	n/a	n/a	n/a	n/a
sub-0003	1	1	1	2	2
sub-0004	1	2	2	2	2
sub-0005	1	1	1	2	1
sub-0006	1	1	1	2	1
sub-0007	1	n/a	n/a	1	1
sub-0008	n/a	n/a	n/a	n/a	n/a
sub-0009	n/a	n/a	n/a	n/a	n/a
sub-0010	1	1	1	2	1
sub-0011	n/a	n/a	n/a	n/a	n/a
sub-0012	n/a	n/a	n/a	n/a	n/a
sub-0013	1	2	3	2	2
sub-0014	1	n/a	n/a	1	1
sub-0015	1	1	1	1	1
sub-0016	1	1	1	1	2
sub-0017	1	1	1	1	2
sub-0018	1	1	1	1	1
sub-0019	1	2	2	1	1
sub-0020	1	1	2	1	2
sub-0021	1	1	1	1	1
sub-0022	1	1	2	2	2
sub-0023	n/a	n/a	n/a	n/a	n/a
sub-0024	1	1	1	1	1
sub-0025	1	1	1	2	2
sub-0026	n/a	n/a	n/a	n/a	n/a
sub-0027	n/a	n/a	n/a	n/a	n/a
sub-0028	1	2	1	1	1
sub-0029	1	n/a	n/a	2	2
sub-0030	1	2	2	2	2
sub-0031	1	1	2	2	2
sub-0032	1	1	1	1	1
sub-0033	n/a	n/a	n/a	n/a	n/a
sub-0034	1	1	1	1	1
sub-0035	1	1	2	2	1
sub-0036	1	1	1	1	1
sub-0037	1	1	2	2	1
sub-0038	1	1	1	1	1
sub-0039	n/a	n/a	n/a	n/a	n/a
sub-0040	n/a	n/a	n/a	n/a	n/a
sub-0041	1	n/a	n/a	1	2
sub-0042	1	2	2	3	2
sub-0043	1	2	2	2	2
sub-0044	1	1	1	1	1
sub-0045	1	1	1	1	1
sub-0046	n/a	n/a	n/a	n/a	n/a
sub-0047	1	1	2	1	2
sub-0048	1	1	n/a	2	1
sub-0049	1	n/a	n/a	1	1
sub-0050	1	1	1	1	1
sub-0051	1	n/a	n/a	1	2
sub-0052	n/a	n/a	n/a	n/a	n/a
sub-0053	1	1	1	1	2
sub-0054	1	3	n/a	2	2
sub-0055	1	2	1	1	2
sub-0056	n/a	n/a	n/a	n/a	n/a
sub-0057	1	1	3	1	1
sub-0058	1	1	1	1	1
sub-0059	1	1	1	1	1
sub-0060	1	1	1	1	2
sub-0061	1	1	2	1	1
sub-0062	n/a	n/a	n/a	n/a	n/a
sub-0063	1	1	2	1	1
sub-0064	1	1	2	2	2
sub-0065	n/a	n/a	n/a	n/a	n/a
sub-0066	n/a	n/a	n/a	n/a	n/a
sub-0067	1	1	1	2	1
sub-0068	1	2	1	1	3
sub-0069	n/a	n/a	n/a	n/a	n/a
